sourceName,decision,canonicalName,internalId,scientificName,confidence,candidateBeforeCount,candidateBeforeNames,evidenceCount,evidenceSummary,conflicts,reviewNote
임연수,keep_manual_review,,,,low,2,임연수어 / 단기임연수어,3,FishBase:South Korea 공식 공통명은 '임연수어'만 등재. '임연수'(어 없는 형태) 없음 | WoRMS:Vernacular names에 한국어 이름 자체가 없음(영/일/러만 등재) | MBRIS:강원도 방언 '새치'(큰 것)/'간이재'(작은 것)는 확인되나 '임연수' 단독 항목은 없음,"후보 2건(임연수어 Pleurogrammus azonus / 단기임연수어 P. monopterygius)이 서로 다른 종이고, 단기임연수어(북태평양산 아부라가리)가 국내에서 '임연수어'로 혼용·대체 유통되는 사례가 알려져 있어 이름만으로는 둘 중 하나를 특정할 수 없음","지정 6개 공식 출처 중 어디에서도 '임연수'가 '임연수어'의 공식 방언·축약형이라는 근거를 확인하지 못했다(대부분 JS 렌더링으로 원문 직접 인용 실패). 이름 유사도만으로 임연수어 쪽을 승인하는 것은 근거 부족 원칙에 위배되고, 설상가상 후보 2종은 실제로 다른 종(수입 대체어종 이슈 있음)이라 오승인 위험이 크다. manual_review 유지."
갑오징어,aggregate_name,,,,high,10,바늘갑오징어 / 꽃갑오징어 / 애기갑오징어 / 넓은붉갑오징어 / 거미다리갑오징어 / 긴다리갑오징어 / 표범갑오징어 / 갈색갑오징어 / 납작갑오징어 / 참갑오징어,2,MBRIS:분류체계에 'Sepiida 갑오징어목 > Sepiidae 갑오징어과'로 명기 — 목/과 수준 명칭 | NIFS:상업적으로 중요한 종은 '갑오징어'가 아닌 '참갑오징어'(Sepia esculenta)라는 완전한 표준명으로 등재,후보 10건이 전부 갑오징어과(Sepiidae) 소속이지만 서로 다른 속(Doratosepion/Acanthosepion 등)의 별개 종이라 하나로 확정할 수 없음,"MBRIS가 '갑오징어'를 목/과 명칭으로 사용하는 것이 공식 확인됨 — 집합명. 시중에서 흔히 말하는 그 종을 특정하려면 '참갑오징어'(Acanthosepion esculentum, BM-SPECIES-003089)를 별도로 검토해야 하며, 이번 판정은 '갑오징어' 표제어 자체에 한한다."
조기,aggregate_name,,,,medium,3,흑조기 / 수조기 / 참조기,2,"국립생물자원관(NIBR):Larimichthys polyactis의 국명은 '참조기'로 등재 — '조기'는 정식 국명 아님 | FishBase:한국 공식 공통명은 '참조기'만 등재, '조기' 단독 항목 없음",후보 3건(흑조기 Atrobucca nibe / 수조기 Nibea albiflora / 참조기 Larimichthys polyactis)이 민어과 내 서로 다른 속의 별개 종,"'조기'가 참조기·부세·수조기·흑조기 등을 아우르는 시장 통칭이라는 정황은 강하나 이를 명시한 NIFS/NIBR 공식 문서는 확인하지 못했다('확인 안 됨'). 다만 공식 표준명 체계가 '참조기'만 개별 종으로 등재하고 '조기'는 등재하지 않는 점, 후보가 서로 다른 3개 종으로 갈리는 점을 근거로 이름 유사도만으로 단일종 승인은 하지 않고 aggregate_name 으로 분류한다. 필요 시 '참조기' 단독 건으로 별도 재검토 권장."
줄돔,aggregate_name,,,,high,6,황줄돔 / 흑줄돔 / 검은청줄돔 / 청줄돔 / 녹줄돔 / 노랑줄돔,1,"국립생물자원관(NIBR)/NIFS:'줄돔'이라는 표준국명 항목 자체가 없고, 청줄돔(청줄돔과)·황줄돔(Pentacerotidae)·흑줄돔(Pomacentridae) 등 서로 다른 과의 개별 종명만 존재",후보 6건이 최소 4개 이상의 서로 다른 과(Pentacerotidae/Pomacentridae/Pomacanthidae/Sparidae/Nemipteridae)에 걸쳐 있어 '줄돔'이라는 이름의 유사성 외에 생물학적 연관성이 없음 | 낚시 현장에서 '줄돔'이 돌돔(Oplegnathus fasciatus)의 통칭으로도 쓰인다는 자료(비공식)도 확인됨,"'줄돔'은 세로줄무늬가 있는 여러 이종(異種) 돔류를 통칭하는 비표준 낚시 용어로, 특별주의 대상인 '돔' 집합명 캐치에 정확히 해당한다. 공식 표준국명 목록에 '줄돔' 단독 항목이 없음이 확인되어 aggregate_name으로 판정한다."
흑새치,keep_manual_review,,,,low,5,청새치 / 백새치 / 녹새치 / 돛새치 / 황새치,2,"국립수산과학원(NIFS):'흑새치(Black Marlin)', 학명 Makaira indica로 등재(검색 스니펫 기반, 직접 렌더링 대조는 실패) | WoRMS:Istiompax indica (Cuvier, 1832)가 valid name이고 Makaira indica는 그 이명 — NIFS 학명은 동일 종(black marlin)을 가리킴","NIFS가 흑새치=Istiompax indica(Makaira indica)로 확인되지만, 현재 후보 풀에서 동일 학명(Istiompax indica)을 가진 항목은 BM-SPECIES-000471이며 그 koreanName이 '흑새치'가 아니라 '백새치'로 등록되어 있음 — 학명은 일치하나 국명 라벨이 어긋남","학명 기준으로는 흑새치=Istiompax indica(=Makaira indica)가 검색엔진 캐시로 간접 확인되었으나, NIFS/NIBR 원문을 직접 렌더링해 대조하지 못했고 결정적으로 우리 후보 풀 자체가 같은 학명을 '백새치'로 라벨링하고 있어 국명 대응에 충돌이 있다. 이 상태로 승인하면 백새치/흑새치 두 이름이 뒤섞일 위험이 있으므로 manual_review 유지. MBRIS 후보 풀의 BM-SPECIES-000471 한국어명 표기 자체를 별도로 재확인할 필요가 있다."
가자미,aggregate_name,,,,high,10,중설가자미 / 신월가자미 / 좌대가자미 / 별목탁가자미 / 목탁가자미 / 노랑반점가자미 / 동백가자미 / 긴가자미 / 흰비늘가자미 / 용가자미,2,"국립수산과학원(NIFS):""'가자미'는 가자미목 가자미과에 속하는 100여종의 어류를 지칭하며, 우리나라에서는 가자미과 어류 중 약 30종 내외가 출현"" | FishBase:전세계 41속 101종 등재 — 단일 종 아님",,NIFS가 직접 '가자미'는 단일 종이 아니라 가자미과 전체를 가리키는 집합 명칭임을 명시했다. 가장 명확한 aggregate_name 사례.
꼴뚜기,aggregate_name,,,,medium,7,꼬마꼴뚜기 / 반원니꼴뚜기 / 참꼴뚜기 / 흰꼴뚜기 / 한치꼴뚜기 / 창꼴뚜기 / 화살꼴뚜기,1,"species.nibr.go.kr:'참꼴뚜기' 개별 상세페이지 존재가 검색으로 확인됨(본문은 JS 렌더링으로 직접 인용 실패, '확인 안 됨')",후보 7건이 서로 다른 속(Loliolus/Sepioteuthis/Uroteuthis/Heterololigo)에 걸쳐 있음,"이번 조사에서 '꼴뚜기과' 공식 집합명 여부를 원문으로 직접 확정하지 못했다(확인 안 됨). 다만 갑오징어·가자미와 동일한 구조(참OO 개별종 + 여러 속을 아우르는 일반명)가 후보 목록 자체에서 재확인되고, 특별주의 대상인 '오징어류' 집합명과 같은 범주로 취급하는 것이 안전하므로 aggregate_name으로 판정한다. 확정 근거 문서는 추가 조사 필요."
망둥어,aggregate_name,,,,medium,2,말뚝망둥어 / 큰볏말뚝망둥어,2,국립국어원:표준어는 '망둥이/망둑어'이며 '망둥어'는 방언/속칭 | 국립생물자원관(NIBR):'문절망둑'이 표준명이고 '망둥어/망둥이'는 별칭으로 처리 — 망둑어과(국내 50여 종)를 뭉뚱그려 부르는 집합적 속칭,"후보 2건(말뚝망둥어/큰볏말뚝망둥어, 둘 다 Periophthalmus속 짱뚱어류)은 망둑어과 전체 중 극히 일부(갯벌 짱뚱어류)만 대표하며, '망둥어'가 가장 흔히 가리키는 문절망둑(Acanthogobius flavimanus)과는 다른 속이라 이름의 일반적 용법과 어긋남",'망둥어'는 망둑어과 전체 또는 문절망둑을 가리키는 비표준 통칭이며 단일 표준학명으로 확정할 수 없다. 특히 현재 후보 2건은 통칭이 실제로 가장 흔히 가리키는 대상(문절망둑)과 다른 속이라 그대로 승인하면 오히려 잘못된 종으로 좁혀버리는 결과가 되므로 aggregate_name으로 판정한다.
광어,approved,넙치,BM-SPECIES-000465,Paralichthys olivaceus,medium,5,연어 / 숭어 / 농어 / 병어 / 방어,3,"국립수산과학원(NIFS):""국민 생선회 광어(넙치) 영양성분 알고 드세요"" — 제목에서 '광어(넙치)' 병기 | NIFS:표준 항목명 '넙치', 학명 Paralichthys olivaceus | MBRIS:국명 '넙치', 학명 Paralichthys olivaceus",자동매칭 후보 5건(연어/숭어/농어/병어/방어)은 전부 편집거리 오탐 — 넙치와 무관한 별개 어종이므로 전부 기각,NIFS 보도자료가 '광어(넙치)'로 명시적으로 병기한 정부 공식 자료를 근거로 승인한다. 다만 이는 생물종 표준명 문서상의 정식 이명 등재가 아니라 보도자료 차원의 통칭 병기이므로 신뢰도는 medium으로 둔다. candidateBefore(연어/숭어/농어/병어/방어)는 이름 유사도 오탐이며 넙치 자체는 원래 자동매칭 후보 목록에 없었으나 공식 근거로 별도 확정함.
열기,keep_manual_review,,,,low,2,발기 / 메기,1,국립생물자원관(NIBR):볼락(Sebastes inermis) 페이지에 '보라볼락' 등 옛 방언만 확인되고 '열기'는 없음 — 공식 DB에서 '열기=불볼락' 직접 등재를 확인하지 못함,"fish-data.ts 설명(relatedFish=[볼락,우럭,쏨뱅이], '붉은빛을 띠는 선상낚시 대상어')은 명백히 해수 볼락류(Sebastes)를 가리키는데, 현재 후보 2건(발기=Perccottus glenii, 메기=Silurus asotus)은 둘 다 민물고기라 서식 환경 자체가 모순됨 — 명백한 오탐","공식 출처로 '열기=불볼락(Sebastes thompsoni)'을 직접 확인하지 못했다(간접 근거만 불볼락 쪽에 수렴). 다만 현재 후보 2건은 담수어라 fish-data.ts 설명과 서식 환경이 정면으로 모순되므로 이 두 후보는 근거 없이도 명백한 오탐으로 판단해 기각 대상으로 기록하고, 전체 상태는 정확한 대체 후보(불볼락 등 Sebastes 속)를 후보 풀에서 다시 찾을 때까지 manual_review로 유지한다."
